file_path,labels
/content/drive/My Drive/iMaterialist2000/51e21bda4676d64317f2cfef-large.jpg,Dresses;Pink;Female;Round Neck;Short Sleeves;Printed
/content/drive/My Drive/iMaterialist2000/520d81401c238843e73241b8-large.jpg,Tutus;Black;Female;Tulle;Lace;Pleated
/content/drive/My Drive/iMaterialist2000/5406d6a386f3c82720163a09-large.jpg,Dress Shirts;Male;Cotton;Collared;Short Sleeves;Printed
/content/drive/My Drive/iMaterialist2000/541c136bb543e71e2bc00ea0-large.jpg,Casual Dresses;Female;V-Necks;Floral;Sleeveless;Spaghetti Straps
/content/drive/My Drive/iMaterialist2000/5908517f1ffd0d67a782a131-large.jpg,Blouses;Blue;Pink;White;Female;Off The Shoulder;Long Sleeved;Hollow-Out
/content/drive/My Drive/iMaterialist2000/599e39919a9e36328f8d6637-large.jpg,Pajamas;Blue;Gray;Black;Female;Round Neck;Sleeveless;Spaghetti Straps
/content/drive/My Drive/iMaterialist2000/535fa4365b7bf750d8435ef6-large.jpg,Hoodies & Sweatshirts;Male;Cotton;V-Necks;Long Sleeved;Printed
/content/drive/My Drive/iMaterialist2000/5397deef9aef300d314c9a92-large.jpg,Tank Tops;White;Neutral;Round Neck;Fringe;Sleeveless;Printed
/content/drive/My Drive/iMaterialist2000/53997c9a4ea6357513c46c33-large.jpg,Casual Shoes;Female;Linen;Embroidered
/content/drive/My Drive/iMaterialist2000/569126e776cd145be5e28807-large.jpg,Shorts;Male;Polyester;Summer
/content/drive/My Drive/iMaterialist2000/539957dc796f684b822195ea-large.jpg,Trench Coats;Black;Male;Leather;Quilted;Long Sleeved
/content/drive/My Drive/iMaterialist2000/59bb4122a137a004e9d3a1b2-large.jpg,Dresses;Blue;Black;Yellow;Female;Sequins;Fringe;Strapless;Embroidered
/content/drive/My Drive/iMaterialist2000/56596d8337c44765f0a871ef-large.jpg,Party Dresses;Pink;Female;V-Necks;Sleeveless;Bodycon
/content/drive/My Drive/iMaterialist2000/5893f770fa5d444e235a7cb2-large.jpg,Lingerie Sleepwear & Underwear;Blue;Female;Lace;Mesh;Spaghetti Straps
/content/drive/My Drive/iMaterialist2000/596351ecc88caf70b3e670d6-large.jpg,Drawstring Pants;Male
/content/drive/My Drive/iMaterialist2000/57c12c153f49341f3b25aa73-large.jpg,Dresses;Beige;Pink;Black;Female;Chiffon;Round Neck;Sleeveless;Summer
/content/drive/My Drive/iMaterialist2000/520e32573deaf7130e1045db-large.jpg,Female;Round Neck;Long Sleeved;Tunic
/content/drive/My Drive/iMaterialist2000/57f3132740252818b678404f-large.jpg,Robes;Blue;Pink;Black;White;Purple;Neutral;Lace;Silk;Mesh
/content/drive/My Drive/iMaterialist2000/5821a2c59985051f83a94784-large.jpg,Dress Shirts;Male;Collared;Long Sleeved
/content/drive/My Drive/iMaterialist2000/538e73a434067e07f8422691-large.jpg,Female;Round Neck;Long Sleeved;Asymmetric
/content/drive/My Drive/iMaterialist2000/5929128e0bc7604132817d9f-large.jpg,Shorts;Male
/content/drive/My Drive/iMaterialist2000/537c59b6e3f74c1e88d5bf9f-large.jpg,Female;Knit;Round Neck;Chevron;Short Sleeves;Hollow-Out
/content/drive/My Drive/iMaterialist2000/522187151c23881eca0bc76a-large.jpg,Female;V-Necks;Long Sleeved;Vintage Retro
/content/drive/My Drive/iMaterialist2000/531053a6548f4a0b52b7b84f-large.jpg,Shorts;Blue;Female;Denim;Ripped
/content/drive/My Drive/iMaterialist2000/579c6a2282ef3026b4ad0881-large.jpg,Casual Shirts;Male;Round Neck;Short Sleeves
/content/drive/My Drive/iMaterialist2000/539c0b25b9ee8416a5a46695-large.jpg,Custom Made Clothing;Neutral;Racerback;Sleeveless;Embroidered
/content/drive/My Drive/iMaterialist2000/555d79451ae5270eaaa1f6f0-large.jpg,Silver;Female;Rhinestone Studded
/content/drive/My Drive/iMaterialist2000/5460ecf6d32e3d28e5b2c090-large.jpg,Blue;Female;Square Necked;Ruffles;Sleeveless;Peplum
/content/drive/My Drive/iMaterialist2000/5590dd3af7fd75422af0606a-large.jpg,T-Shirts;Male;Cotton;Round Neck;Galaxy;Short Sleeves;Printed
/content/drive/My Drive/iMaterialist2000/53d1ca9dbb115d0f1097c21f-large.jpg,Jeans;Male;Denim;Ripped
/content/drive/My Drive/iMaterialist2000/596587ed7c7f2c706f46055e-large.jpg,Dresses;Female;Off The Shoulder;Sleeveless;Bodycon
/content/drive/My Drive/iMaterialist2000/59b7410fdbf1c9362eaa1f4b-large.jpg,Jackets;Male;Velvet;Collared
/content/drive/My Drive/iMaterialist2000/57933e2803664479f73da8b5-large.jpg,Crop Tops;Black;Female;Racerback;Sleeveless;Spaghetti Straps
/content/drive/My Drive/iMaterialist2000/584c05a86a36f24fad058d09-large.jpg,Pullover Sweaters;Blue;Green;Orange;Pink;Black;White;Yellow;Red;Female;Round Neck;Long Sleeved
/content/drive/My Drive/iMaterialist2000/5552fcfaaf7ffd1175bf8a96-large.jpg,Skirts;Silver;Gold;Female;Sleeveless;Peplum
/content/drive/My Drive/iMaterialist2000/5936577adda5f147d2fcd460-large.jpg,Dresses;Female;Lace;V-Necks;Sleeveless;Pleated
/content/drive/My Drive/iMaterialist2000/579b65a4d057a339762251b4-large.jpg,Swimsuits;Female;Spandex;Polyester
/content/drive/My Drive/iMaterialist2000/55237bcbaf10c20d9a46ac19-large.jpg,Prom Dresses;Clear;Female;Sweetheart Neckline;Sleeveless;Beaded
/content/drive/My Drive/iMaterialist2000/5600c7ab37c44759c0d7dedb-large.jpg,Party Dresses;White;Female;Polyester;Sweetheart Neckline;Strapless;Pleated
/content/drive/My Drive/iMaterialist2000/52da1ea10fbe0316acf6c4ff-large.jpg,Dress Shirts;Blue;Male;Cotton;Round Neck;Short Sleeves;Printed
/content/drive/My Drive/iMaterialist2000/5a25643ac3834b5068338f24-large.jpg,Gray;Black;Female;Collared
/content/drive/My Drive/iMaterialist2000/53e7460117a9cb57d0936fd4-large.jpg,Dresses;Blue;Female;Round Neck;Stripes;Sleeveless;Asymmetric
/content/drive/My Drive/iMaterialist2000/58258ee0f14c0e4bee087c9f-large.jpg,Female;Round Neck;Long Sleeved
/content/drive/My Drive/iMaterialist2000/58193f0d5cc61972f3608666-large.jpg,Dress Shirts;Female;Cotton;Collared;Camouflage;Long Sleeved
/content/drive/My Drive/iMaterialist2000/57b55ce6b925105efdcc9829-large.jpg,Female;Spandex;Polyester;Shoulder Drapes;Long Sleeved
/content/drive/My Drive/iMaterialist2000/534b357b53cf2113015ca849-large.jpg,Polos;Male;Collared;Long Sleeved
/content/drive/My Drive/iMaterialist2000/586a13e15b28274ca2d9360d-large.jpg,Dresses;Green;Female;Cotton;V-Necks;Camouflage;Sleeveless;Bodycon
/content/drive/My Drive/iMaterialist2000/5369dd2d8ec49d0c889c10d0-large.jpg,Dresses;Green;Pink;Black;Yellow;Red;Female;Leopard And Cheetah;Short Sleeves;Hollow-Out
/content/drive/My Drive/iMaterialist2000/57c78d2ff9fd081fa6ecef4e-large.jpg,Skirts;Female;Spandex;Floral;Pleated
/content/drive/My Drive/iMaterialist2000/5457130ee400ae0fa98c23e7-large.jpg,Dresses;Blue;Pink;Black;Female;Floral;Vintage Retro
/content/drive/My Drive/iMaterialist2000/54a50ba5d630ed7626c8716b-large.jpg,Female;Cashmere;Knit;Turtlenecks
/content/drive/My Drive/iMaterialist2000/550fa1748e8def3726fc87b1-large.jpg,Formal Dresses;Female;Chiffon;Lace;Sweetheart Neckline;Ruched;Strapless;Rhinestone Studded
/content/drive/My Drive/iMaterialist2000/54292acb4de0b90d5647d1bb-large.jpg,Cocktail Dresses;Female;Lace;Round Neck;Short Sleeves;Hollow-Out
/content/drive/My Drive/iMaterialist2000/54b92d2a28565a577bf76bb7-large.jpg,Peacoats;Blue;Black;Male;Cotton;Turtlenecks;Long Sleeved
/content/drive/My Drive/iMaterialist2000/53b5eecbaba59f3c089175aa-large.jpg,Costumes & Cosplay;Female;Sweetheart Neckline;Sleeveless;Spaghetti Straps
/content/drive/My Drive/iMaterialist2000/5940f7b38b960203c483d21e-large.jpg,Bikinis;Female;Spandex;Polyester
/content/drive/My Drive/iMaterialist2000/5803e7e72b96052376b68d87-large.jpg,Casual Dresses;Blue;Neutral;Round Neck;Long Sleeved;Tunic
/content/drive/My Drive/iMaterialist2000/5595396bfbb7c74058451b3e-large.jpg,T-Shirts;Female;Cotton;Round Neck;Short Sleeves;Embroidered
/content/drive/My Drive/iMaterialist2000/576b91cf47751c046c5c5dc8-large.jpg,Casual Dresses;Female;Round Neck;Long Sleeved;Bodycon
/content/drive/My Drive/iMaterialist2000/575bc6f7dd129260d5ab7e67-large.jpg,Athletic Shorts;Female
/content/drive/My Drive/iMaterialist2000/55b7611aba7f2340a40e9617-large.jpg,Jackets;Male;Turtlenecks;Long Sleeved
/content/drive/My Drive/iMaterialist2000/56c3d63d429bf418d4674f77-large.jpg,Casual Dresses;White;Female;Off The Shoulder;Strapless;Summer
/content/drive/My Drive/iMaterialist2000/563f5ec7fc2b645a87fb567a-large.jpg,Dresses;Red;Female;V-Necks;Ruched;Long Sleeved;Bodycon
/content/drive/My Drive/iMaterialist2000/54c6ff59d5ffe8190b37f435-large.jpg,Skirts;Black;White;Red;Neutral;Ruffles;Ruched
/content/drive/My Drive/iMaterialist2000/56c1a7c287b94f16886f554c-large.jpg,Fashion Sets;Female;Polyester;Round Neck;Sleeveless;Bodycon
/content/drive/My Drive/iMaterialist2000/530c3636796f6805a687c1f1-large.jpg,Dresses;Female;Round Neck;Short Sleeves;Hollow-Out
