id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,fname
5415,Girls,Apparel,Topwear,Tshirts,Red,Summer,Casual,5415.jpg
37585,Girls,Apparel,Topwear,Rompers,White,Summer,Casual,37585.jpg
20279,Women,Footwear,Shoes,Heels,Beige,Winter,Casual,20279.jpg
58629,Women,Accessories,Jewellery,Bangle,Black,Winter,Casual,58629.jpg
10987,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,10987.jpg
11878,Men,Footwear,Shoes,Formal Shoes,Black,Summer,Formal,11878.jpg
59375,Women,Apparel,Topwear,Kurtas,White,Summer,Ethnic,59375.jpg
41721,Women,Footwear,Shoes,Heels,Brown,Winter,Casual,41721.jpg
32591,Women,Apparel,Bottomwear,Skirts,Pink,Summer,Casual,32591.jpg
5585,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,5585.jpg
55319,Women,Personal Care,Skin Care,Sunscreen,White,Spring,Casual,55319.jpg
7874,Men,Footwear,Shoes,Formal Shoes,Tan,Summer,Formal,7874.jpg
37683,Unisex,Accessories,Bags,Backpacks,Black,Summer,Casual,37683.jpg
24868,Men,Accessories,Wallets,Wallets,Black,Summer,Casual,24868.jpg
40641,Women,Apparel,Topwear,Kurtas,Green,Summer,Ethnic,40641.jpg
14086,Men,Apparel,Topwear,Sweaters,Grey,Fall,Casual,14086.jpg
51432,Women,Apparel,Topwear,Shirts,White,Summer,Casual,51432.jpg
42883,Women,Accessories,Bags,Handbags,Black,Summer,Casual,42883.jpg
49913,Men,Accessories,Watches,Watches,Black,Winter,Casual,49913.jpg
50231,Women,Accessories,Eyewear,Sunglasses,Lavender,Winter,Casual,50231.jpg
25240,Women,Accessories,Bags,Handbags,Green,Winter,Casual,25240.jpg
18755,Women,Apparel,Dress,Dresses,Blue,Fall,Casual,18755.jpg
53880,Men,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,Casual,53880.jpg
46584,Women,Footwear,Shoes,Heels,White,Summer,Casual,46584.jpg
33716,Women,Accessories,Bags,Handbags,Black,Winter,Casual,33716.jpg
32342,Men,Accessories,Watches,Watches,White,Winter,Casual,32342.jpg
3178,Women,Footwear,Shoes,Sports Shoes,White,Summer,Sports,3178.jpg
8847,Men,Apparel,Topwear,Shirts,White,Fall,Casual,8847.jpg
29024,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Sports,29024.jpg
58873,Men,Accessories,Ties,Ties,Blue,Summer,Casual,58873.jpg
22122,Men,Footwear,Shoes,Formal Shoes,Black,Summer,Formal,22122.jpg
10030,Women,Apparel,Topwear,Tshirts,Black,Fall,Sports,10030.jpg
57592,Women,Personal Care,Lips,Lipstick,Brown,Spring,Casual,57592.jpg
21292,Women,Accessories,Eyewear,Sunglasses,Metallic,Winter,Casual,21292.jpg
7911,Men,Apparel,Topwear,Tshirts,Grey,Fall,Casual,7911.jpg
51515,Men,Accessories,Watches,Watches,Blue,Winter,Casual,51515.jpg
9557,Men,Apparel,Topwear,Tshirts,Blue,Summer,Sports,9557.jpg
27677,Women,Accessories,Bags,Handbags,Blue,Winter,Casual,27677.jpg
13519,Men,Apparel,Topwear,Sweatshirts,White,Fall,Casual,13519.jpg
49673,Men,Accessories,Eyewear,Sunglasses,Steel,Winter,Casual,49673.jpg
57446,Women,Apparel,Topwear,Tshirts,Black,Summer,Casual,57446.jpg
32433,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,32433.jpg
26814,Men,Apparel,Topwear,Shirts,Blue,Summer,Formal,26814.jpg
4994,Men,Footwear,Shoes,Sports Shoes,Black,Summer,Sports,4994.jpg
55378,Women,Personal Care,Nails,Nail Polish,Silver,Spring,Casual,55378.jpg
48610,Women,Accessories,Jewellery,Earrings,Silver,Summer,Casual,48610.jpg
26843,Men,Apparel,Bottomwear,Trousers,Grey,Summer,Casual,26843.jpg
35783,Women,Footwear,Shoes,Heels,Turquoise Blue,Summer,Casual,35783.jpg
41449,Men,Footwear,Shoes,Casual Shoes,White,Fall,Casual,41449.jpg
28379,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,Casual,28379.jpg
37943,Women,Apparel,Topwear,Tunics,Beige,Summer,Casual,37943.jpg
38203,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,Casual,38203.jpg
54874,Women,Accessories,Jewellery,Necklace and Chains,Gold,Fall,Casual,54874.jpg
14341,Women,Footwear,Flip Flops,Flip Flops,Green,Summer,Casual,14341.jpg
15776,Men,Apparel,Innerwear,Briefs,Blue,Summer,Casual,15776.jpg
44903,Men,Apparel,Topwear,Tshirts,Blue,Summer,Casual,44903.jpg
6172,Men,Apparel,Topwear,Tshirts,Yellow,Summer,Casual,6172.jpg
7388,Men,Footwear,Shoes,Formal Shoes,Black,Winter,Formal,7388.jpg
34914,Women,Apparel,Topwear,Dupatta,Olive,Summer,Ethnic,34914.jpg
56896,Women,Footwear,Shoes,Heels,Black,Winter,Casual,56896.jpg
6366,Unisex,Footwear,Sandal,Sandals,Brown,Summer,Casual,6366.jpg
57837,Unisex,Accessories,Bags,Handbags,Black,Summer,Casual,57837.jpg
18704,Men,Apparel,Innerwear,Briefs,Blue,Summer,Casual,18704.jpg
11956,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,Casual,11956.jpg
58269,Women,Accessories,Bags,Handbags,Brown,Fall,Casual,58269.jpg
32849,Women,Footwear,Shoes,Heels,Brown,Winter,Casual,32849.jpg
19911,Unisex,Accessories,Bags,Messenger Bag,Grey,Winter,Casual,19911.jpg
30670,Men,Accessories,Eyewear,Sunglasses,Black,Winter,Casual,30670.jpg
41379,Women,Apparel,Topwear,Tops,Red,Summer,Casual,41379.jpg
50554,Men,Apparel,Innerwear,Innerwear Vests,Grey Melange,Summer,Casual,50554.jpg
14954,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,14954.jpg
41043,Men,Accessories,Watches,Watches,White,Winter,Casual,41043.jpg
24676,Women,Accessories,Bags,Handbags,Black,Winter,Casual,24676.jpg
58988,Women,Personal Care,Fragrance,Deodorant,Green,Spring,Casual,58988.jpg
15061,Men,Footwear,Shoes,Formal Shoes,Black,Summer,Formal,15061.jpg
17946,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,Sports,17946.jpg
52390,Women,Apparel,Loungewear and Nightwear,Nightdress,Green,Winter,Casual,52390.jpg
4973,Men,Apparel,Topwear,Shirts,Yellow,Summer,Casual,4973.jpg
22256,Women,Footwear,Shoes,Flats,Red,Fall,Casual,22256.jpg
5982,Men,Apparel,Topwear,Shirts,Blue,Summer,Casual,5982.jpg
29711,Men,Apparel,Topwear,Shirts,Blue,Summer,Formal,29711.jpg
11196,Men,Accessories,Watches,Watches,Orange,Winter,Casual,11196.jpg
19762,Men,Accessories,Watches,Watches,Black,Winter,Casual,19762.jpg
33897,Men,Accessories,Watches,Watches,Black,Winter,Casual,33897.jpg
52157,Women,Apparel,Topwear,Tops,Pink,Summer,Casual,52157.jpg
56921,Women,Footwear,Shoes,Heels,Blue,Winter,Casual,56921.jpg
12116,Women,Apparel,Topwear,Kurtas,Orange,Fall,Ethnic,12116.jpg
59721,Women,Apparel,Innerwear,Bra,Black,Summer,Casual,59721.jpg
13865,Men,Apparel,Topwear,Shirts,Green,Fall,Casual,13865.jpg
7922,Men,Apparel,Topwear,Tshirts,Green,Fall,Casual,7922.jpg
7111,Unisex,Accessories,Bags,Backpacks,Black,Winter,Casual,7111.jpg
10361,Men,Apparel,Topwear,Tshirts,Purple,Fall,Casual,10361.jpg
30332,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,30332.jpg
13552,Women,Footwear,Shoes,Flats,Yellow,Winter,Casual,13552.jpg
34403,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,34403.jpg
41597,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,Casual,41597.jpg
17041,Men,Footwear,Shoes,Casual Shoes,Grey,Fall,Casual,17041.jpg
18629,Women,Apparel,Topwear,Tshirts,White,Summer,Casual,18629.jpg
40005,Men,Accessories,Eyewear,Sunglasses,Black,Winter,Casual,40005.jpg
23124,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Spring,Casual,23124.jpg
17489,Women,Footwear,Shoes,Flats,Off White,Fall,Casual,17489.jpg
7103,Unisex,Accessories,Bags,Backpacks,Grey,Winter,Casual,7103.jpg
58696,Women,Apparel,Topwear,Kurtas,Mustard,Summer,Ethnic,58696.jpg
58528,Unisex,Accessories,Eyewear,Sunglasses,Brown,Winter,Casual,58528.jpg
50283,Men,Accessories,Ties,Ties,Purple,Summer,Formal,50283.jpg
3410,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,3410.jpg
19791,Men,Apparel,Topwear,Tshirts,Yellow,Winter,Casual,19791.jpg
52579,Women,Accessories,Bags,Clutches,Beige,Summer,Casual,52579.jpg
4304,Unisex,Apparel,Topwear,Tshirts,Pink,Summer,Casual,4304.jpg
39737,Men,Footwear,Sandal,Sandals,Black,Summer,Casual,39737.jpg
11993,Men,Apparel,Topwear,Tshirts,Blue,Fall,Casual,11993.jpg
57016,Men,Apparel,Innerwear,Briefs,Blue,Summer,Casual,57016.jpg
21591,Women,Apparel,Topwear,Tshirts,Black,Summer,Casual,21591.jpg
5560,Men,Apparel,Topwear,Jackets,Green,Summer,Sports,5560.jpg
33692,Men,Footwear,Shoes,Formal Shoes,Brown,Winter,Formal,33692.jpg
52902,Women,Apparel,Saree,Sarees,Blue,Fall,Ethnic,52902.jpg
52980,Women,Apparel,Saree,Sarees,Green,Fall,Ethnic,52980.jpg
28745,Women,Apparel,Topwear,Kurtas,Orange,Summer,Ethnic,28745.jpg
56317,Women,Accessories,Watches,Watches,Black,Winter,Casual,56317.jpg
56072,Women,Personal Care,Lips,Lip Liner,Brown,Spring,Casual,56072.jpg
56923,Women,Footwear,Shoes,Heels,Orange,Winter,Casual,56923.jpg
31705,Women,Accessories,Jewellery,Earrings,Silver,Winter,Ethnic,31705.jpg
8352,Unisex,Accessories,Bags,Backpacks,Black,Winter,Travel,8352.jpg
52186,Women,Accessories,Jewellery,Earrings,Silver,Fall,Casual,52186.jpg
30877,Women,Apparel,Topwear,Kurtas,Blue,Summer,Ethnic,30877.jpg
30931,Women,Apparel,Topwear,Kurtis,Teal,Summer,Ethnic,30931.jpg
7803,Men,Apparel,Topwear,Tshirts,Teal,Fall,Casual,7803.jpg
19191,Men,Apparel,Topwear,Shirts,Charcoal,Summer,Casual,19191.jpg
59275,Women,Accessories,Watches,Watches,Red,Winter,Casual,59275.jpg
15094,Women,Apparel,Topwear,Kurtas,Orange,Fall,Ethnic,15094.jpg
10044,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,10044.jpg
6805,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,Casual,6805.jpg
12367,Men,Apparel,Topwear,Shirts,White,Fall,Formal,12367.jpg
41836,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,41836.jpg
35454,Boys,Apparel,Topwear,Tshirts,Blue,Summer,Casual,35454.jpg
48497,Women,Apparel,Bottomwear,Trousers,Black,Winter,Casual,48497.jpg
10392,Women,Accessories,Watches,Watches,White,Winter,Casual,10392.jpg
17065,Women,Accessories,Belts,Belts,White,Winter,Casual,17065.jpg
59734,Women,Apparel,Innerwear,Briefs,Purple,Summer,Casual,59734.jpg
13873,Men,Apparel,Topwear,Shirts,Purple,Fall,Casual,13873.jpg
51762,Women,Footwear,Shoes,Heels,Gold,Winter,Casual,51762.jpg
38608,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,38608.jpg
13546,Women,Footwear,Shoes,Flats,Gold,Spring,Casual,13546.jpg
56697,Men,Apparel,Topwear,Kurtas,Black,Summer,Ethnic,56697.jpg
10186,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,10186.jpg
51667,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,Casual,51667.jpg
38204,Women,Accessories,Eyewear,Sunglasses,Grey,Winter,Casual,38204.jpg
53145,Women,Footwear,Shoes,Heels,Blue,Winter,Casual,53145.jpg
41855,Men,Accessories,Headwear,Caps,Blue,Summer,Casual,41855.jpg
18935,Men,Apparel,Topwear,Tshirts,Blue,Fall,Casual,18935.jpg
9466,Men,Apparel,Topwear,Shirts,White,Fall,Formal,9466.jpg
4194,Men,Apparel,Topwear,Tshirts,Maroon,Summer,Casual,4194.jpg
38142,Unisex,Accessories,Bags,Backpacks,Red,Summer,Casual,38142.jpg
7256,Men,Footwear,Sandal,Sandals,Brown,Fall,Casual,7256.jpg
9266,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,9266.jpg
49165,Women,Personal Care,Makeup,Kajal and Eyeliner,Olive,Spring,Casual,49165.jpg
53775,Men,Apparel,Topwear,Tshirts,Red,Summer,Casual,53775.jpg
41791,Women,Apparel,Topwear,Tops,Black,Summer,Casual,41791.jpg
17570,Men,Apparel,Topwear,Shirts,Green,Fall,Formal,17570.jpg
52781,Women,Accessories,Wallets,Wallets,Black,Fall,Casual,52781.jpg
40472,Men,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,40472.jpg
31015,Men,Apparel,Topwear,Shirts,White,Winter,Formal,31015.jpg
9919,Women,Accessories,Bags,Handbags,Black,Fall,Casual,9919.jpg
16465,Men,Apparel,Topwear,Shirts,Grey,Fall,Casual,16465.jpg
54800,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,54800.jpg
27604,Men,Apparel,Bottomwear,Trousers,Khaki,Summer,Casual,27604.jpg
9769,Men,Apparel,Bottomwear,Tracksuits,Navy Blue,Fall,Casual,9769.jpg
18302,Women,Apparel,Topwear,Kurtis,Green,Fall,Ethnic,18302.jpg
46795,Men,Footwear,Shoes,Formal Shoes,Black,Summer,Formal,46795.jpg
59819,Men,Apparel,Topwear,Shirts,Blue,Summer,Casual,59819.jpg
11287,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,11287.jpg
2855,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,2855.jpg
46736,Men,Accessories,Watches,Watches,Blue,Winter,Casual,46736.jpg
48251,Boys,Apparel,Topwear,Tshirts,Off White,Summer,Casual,48251.jpg
36207,Girls,Apparel,Topwear,Tops,White,Summer,Casual,36207.jpg
31204,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,Casual,31204.jpg
26610,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,26610.jpg
6387,Men,Footwear,Shoes,Sports Shoes,Navy Blue,Summer,Sports,6387.jpg
28399,Women,Accessories,Eyewear,Sunglasses,Brown,Winter,Casual,28399.jpg
25043,Women,Apparel,Topwear,Tshirts,Pink,Fall,Sports,25043.jpg
10005,Men,Apparel,Topwear,Tshirts,Blue,Fall,Sports,10005.jpg
24756,Men,Apparel,Topwear,Sweaters,Green,Fall,Casual,24756.jpg
21982,Women,Accessories,Bags,Clutches,Gold,Winter,Casual,21982.jpg
34438,Women,Apparel,Topwear,Tshirts,White,Summer,Casual,34438.jpg
58110,Women,Accessories,Jewellery,Earrings,Silver,Fall,Casual,58110.jpg
9710,Men,Apparel,Topwear,Shirts,White,Fall,Casual,9710.jpg
12705,Men,Footwear,Shoes,Sports Shoes,White,Fall,Sports,12705.jpg
57289,Men,Apparel,Topwear,Shirts,Blue,Summer,Casual,57289.jpg
40295,Unisex,Footwear,Flip Flops,Flip Flops,Purple,Fall,Casual,40295.jpg
55982,Women,Personal Care,Lips,Lipstick,Brown,Spring,Casual,55982.jpg
23750,Unisex,Accessories,Eyewear,Sunglasses,Purple,Winter,Casual,23750.jpg
19933,Men,Accessories,Accessories,Accessory Gift Set,Red,Fall,Formal,19933.jpg
31192,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,Casual,31192.jpg
29957,Men,Accessories,Eyewear,Sunglasses,Copper,Winter,Casual,29957.jpg
14320,Men,Apparel,Bottomwear,Shorts,Grey,Fall,Sports,14320.jpg
2196,Men,Footwear,Shoes,Sports Shoes,White,Fall,Sports,2196.jpg
55806,Women,Apparel,Loungewear and Nightwear,Night suits,Green,Summer,Casual,55806.jpg
11035,Women,Apparel,Topwear,Shirts,Purple,Fall,Casual,11035.jpg
27105,Women,Apparel,Topwear,Kurtas,Lavender,Summer,Ethnic,27105.jpg
40321,Men,Footwear,Shoes,Sports Shoes,Black,Summer,Sports,40321.jpg
56615,Women,Personal Care,Makeup,Highlighter and Blush,Rose,Spring,Casual,56615.jpg
12870,Men,Footwear,Shoes,Casual Shoes,Black,Spring,Casual,12870.jpg
45872,Men,Accessories,Watches,Watches,Grey,Winter,Casual,45872.jpg
43271,Women,Accessories,Bags,Handbags,Black,Spring,Casual,43271.jpg
38415,Women,Accessories,Belts,Belts,Red,Summer,Casual,38415.jpg
26985,Women,Apparel,Bottomwear,Shorts,Pink,Summer,Casual,26985.jpg
58966,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,Casual,58966.jpg
16018,Men,Apparel,Bottomwear,Trousers,Khaki,Fall,Casual,16018.jpg
9434,Unisex,Accessories,Headwear,Caps,White,Fall,Casual,9434.jpg
46706,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,Casual,46706.jpg
49149,Women,Personal Care,Lips,Lip Liner,Brown,Spring,Casual,49149.jpg
41661,Men,Apparel,Topwear,Shirts,Blue,Summer,Formal,41661.jpg
4210,Boys,Apparel,Topwear,Tshirts,Blue,Summer,Casual,4210.jpg
29249,Men,Footwear,Shoes,Sports Shoes,Black,Summer,Sports,29249.jpg
44735,Women,Footwear,Flip Flops,Flip Flops,White,Spring,Casual,44735.jpg
13159,Women,Apparel,Topwear,Tshirts,Grey,Fall,Casual,13159.jpg
4097,Men,Apparel,Topwear,Tshirts,Red,Fall,Sports,4097.jpg
25530,Men,Apparel,Topwear,Shirts,Blue,Summer,Casual,25530.jpg
22113,Women,Footwear,Shoes,Sports Shoes,White,Fall,Sports,22113.jpg
13513,Men,Apparel,Topwear,Tshirts,Grey,Fall,Casual,13513.jpg
19359,Women,Apparel,Innerwear,Briefs,Cream,Summer,Casual,19359.jpg
52807,Men,Accessories,Wallets,Wallets,Brown,Summer,Casual,52807.jpg
59597,Women,Apparel,Saree,Sarees,Green,Fall,Ethnic,59597.jpg
18898,Women,Apparel,Topwear,Shirts,White,Fall,Casual,18898.jpg
39375,Women,Accessories,Watches,Watches,Silver,Winter,Casual,39375.jpg
29736,Women,Accessories,Bags,Handbags,Peach,Summer,Casual,29736.jpg
28032,Men,Apparel,Innerwear,Briefs,White,Summer,Casual,28032.jpg
43873,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,43873.jpg
3849,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,3849.jpg
25249,Women,Accessories,Bags,Handbags,Brown,Summer,Casual,25249.jpg
10583,Men,Accessories,Watches,Watches,Gold,Winter,Formal,10583.jpg
2707,Girls,Apparel,Dress,Dresses,Pink,Summer,Casual,2707.jpg
16613,Men,Apparel,Bottomwear,Trousers,Grey,Fall,Formal,16613.jpg
48512,Women,Apparel,Topwear,Tops,Grey,Summer,Casual,48512.jpg
9069,Men,Apparel,Topwear,Shirts,Blue,Fall,Formal,9069.jpg
40515,Men,Accessories,Watches,Watches,Cream,Winter,Casual,40515.jpg
58322,Men,Accessories,Socks,Socks,White,Summer,Sports,58322.jpg
42590,Girls,Apparel,Topwear,Tshirts,White,Summer,Casual,42590.jpg
55624,Men,Footwear,Shoes,Formal Shoes,Black,Summer,Formal,55624.jpg
51404,Men,Apparel,Topwear,Shirts,Blue,Summer,Casual,51404.jpg
